AREACD,AREANM,Method,mapvar,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L),"Agriculture, electricity, water, mining (A,B,D,E)"
E09000002,Barking and Dagenham,Bus,26.55241146,1.693384896,1.526431455,0.257244587,1.090308182,0.212950817,0.683146221,0.947205233,0.495749502,0.093698359,0.350942946,0.630334418,0.574115402,0.415679995,0.330499668,0.626927205,0.056219016,0.093698359,0.156731802
E09000003,Barnet,Bus,27.90711923,2.917840951,2.459104276,0.579739003,1.350171548,0.228985418,1.097445166,1.05302659,0.37066536,0.225156231,0.690019605,0.27799902,0.435761549,0.341563534,0.798002696,0.381387085,0.136319079,0.183035167,0.049013601
E09000004,Bexley,Bus,18.16175102,2.546474828,1.533203904,0.216749555,0.803170128,0.166218984,0.965399856,0.844392436,0.58376107,0.122337172,0.349724741,0.597058589,0.438818117,0.243344592,0.2845669,0.348394989,0.074466105,0.102390894,0.27791814
E09000005,Brent,Bus,36.70515994,2.151771007,2.261300032,0.450190167,1.219480643,0.210433718,1.154798147,1.502358755,0.464851532,0.203534252,1.106501884,1.049581289,0.900380333,0.296677045,0.455364766,0.658036584,0.188010453,0.163862321,0.109529026
E09000006,Bromley,Bus,22.67661966,3.272730512,2.071066532,0.47122331,0.75805489,0.7242052,0.951354433,0.840897551,0.507745343,0.168357667,0.304647206,0.228930795,0.325135176,0.342950802,0.375909711,0.209333607,0.056119222,0.15054204,0.060573129
E09000007,Camden,Bus,71.15577669,1.08565108,1.750402465,1.506550776,1.324757152,0.218663415,1.010816356,0.719873548,0.474926717,0.774265616,0.23509055,0.161716015,0.270135104,0.473466527,0.436596735,0.162081062,0.36760277,0.153319924,0.038329981
E09000001,City of London,Bus,84.41417122,0.448690155,0.204763836,1.188581339,0.145180917,1.821894625,0.64226471,0.562261354,0.150216093,0.303229506,0.09986433,0.055946403,0.083919605,0.102381918,0.107137362,0.057065331,0.089793977,0.076087109,0.019860973
E09000008,Croydon,Bus,32.40723168,2.893826997,2.643804306,0.707159891,1.154395201,0.731914613,1.075180091,1.063627887,1.519939929,0.284679303,0.500870541,0.315210126,0.514073059,0.28880509,0.385348505,0.382873033,0.121298138,0.182359785,0.052810074
E09000009,Ealing,Bus,33.68751781,2.134105191,2.22783785,0.618635552,1.19902818,0.231707134,1.136039833,1.323505152,0.53465109,0.317941181,0.813599484,0.894584502,0.872838525,0.285697146,0.462664407,0.610387078,0.128226278,0.184465874,0.090733215
E09000010,Enfield,Bus,24.86528244,2.626521461,2.708482496,0.283566341,1.336812752,0.28168218,1.102234616,1.090929645,0.507781588,0.176169122,0.52097072,0.433357199,0.601989675,0.285450503,0.382484832,0.601989675,0.110223462,0.164864152,0.101744734
E09000011,Greenwich,Bus,32.93154161,2.568775593,3.197416229,0.382951727,1.925139858,0.203010554,1.58025261,1.39569756,1.116558048,0.216852183,0.544437395,0.401407232,0.670165523,0.708230002,0.454466809,0.4660015,0.091124056,0.173020359,0.129188535
E09000012,Hackney,Bus,50.39453324,1.483944756,2.809307332,1.328245889,1.836669966,0.356569627,1.353234596,1.345545763,0.834238373,0.832316165,0.558401492,0.391169375,0.657395216,0.64682307,0.4670966,0.24988707,0.162426596,0.275836881,0.054782934
E09000013,Hammersmith and Fulham,Bus,55.66700501,1.986109224,2.042855202,0.801636842,0.930314341,0.204605216,1.051798688,0.746489342,0.460361736,1.172483795,0.275737498,0.193415868,0.341275106,0.481941192,0.407611953,0.276536737,0.192616629,0.246964889,0.059143695
E09000014,Haringey,Bus,39.18917261,2.784151564,2.478618845,0.623335828,2.063879652,0.247861884,1.550977337,1.689632747,0.796348332,0.30430568,0.87487883,0.576708345,1.029485748,0.699412248,0.690822975,0.476091144,0.128839098,0.274856743,0.089573849
E09000015,Harrow,Bus,26.1302754,2.269278799,1.797967048,0.691525788,0.848629705,0.264525398,0.887569992,0.876827844,0.377317954,0.201415278,0.585447075,0.377317954,0.370604112,0.3625475,0.306151223,0.330321056,0.092651028,0.08190888,0.065795658
E09000016,Havering,Bus,21.1226621,3.275995588,2.307981133,0.295684416,0.650036374,0.630089409,0.85067937,0.586675428,0.46699364,0.105601577,0.30155117,0.352005257,0.390725835,0.321498134,0.287470959,0.282777556,0.065707648,0.095041419,0.051627439
E09000017,Hillingdon,Bus,20.87203162,2.089255001,1.016867324,0.281222655,0.619172626,0.188889895,1.244380073,1.415165505,0.413385233,0.292688814,0.316828098,0.407350412,1.993301349,0.136990435,0.223288374,0.345795239,0.540719954,0.042243746,0.053106424
E09000018,Hounslow,Bus,28.07544663,1.848318903,1.316917563,0.455707544,0.61327422,0.28346554,1.228865597,1.348585376,0.45647993,0.65961736,0.403957704,0.383103291,1.372529331,0.291189397,0.331353451,0.388509991,0.196958345,0.116630236,0.07492141
E09000019,Islington,Bus,64.58715487,1.381709031,2.181551802,1.482954952,1.344188484,0.490149368,1.098220454,0.91359554,0.636062606,0.846296782,0.338876051,0.231674488,0.483598161,0.478238083,0.452628821,0.201300712,0.129833004,0.275746242,0.065512066
E09000020,Kensington and Chelsea,Bus,60.15892192,2.873866363,2.178795665,0.820983138,1.075360297,0.329244015,1.651324633,0.823535417,0.352214528,0.539381668,0.25182488,0.154838271,0.239914243,0.601487128,0.863521124,0.225451328,0.614248524,0.346259209,0.036582669
