AREACD,AREANM,Method,mapvar,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L)
E30000231,Lincoln,2.998194302,2.095785635,1.363029836,0.625027155,2.574825077,1.078580335,1.101669807,1.155351297,0.982711223,0.626026576,0.273580424,0.759238349,0.689151501,0.888360939,1.260982012,1.028552744,0.996972983,1.014442205,1.167009037
E30000232,Liskeard,3.996988627,4.0409096,1.271037329,0.057710192,1.257875962,2.190967878,1.389500184,0.782019554,1.735137842,0.250830633,0.177900635,1.179252179,0.65432975,0.589801622,0.132421086,0.844846802,0.906523267,0.987498483,0.757254327
E30000233,Liverpool,0.480077536,0.085301805,0.812322964,0.251461346,0.964198727,0.723150357,0.956969483,1.15021817,0.977056037,0.533709981,0.986919156,0.809031887,0.882894378,0.783798267,1.583641707,1.059607686,1.428559711,1.308925068,0.898458737
E30000234,London,0.185914774,0.564851094,0.284391701,0.574859816,0.499553449,0.844912326,0.769907474,0.762399647,1.037877573,1.860589972,2.154216889,1.416830789,1.503175943,1.213223683,1.028932181,0.832260513,0.789837352,1.136560314,1.098992364
E30000235,Lowestoft,1.406671183,0.814435259,1.982079406,0.842099404,1.340546598,1.269147736,1.162793833,0.528054383,1.290205895,0.264790586,0.283206729,0.737752516,0.717909077,0.652179367,1.073050955,0.986396447,0.961535159,1.317326405,0.792413754
E30000236,Ludlow,8.173558557,2.654638737,1.412857216,1.160712533,0.814519945,1.413104502,1.283570937,0.451877319,1.850908283,0.457792341,0.248810006,1.760736753,0.839443624,0.469503164,0.307379124,1.072459555,0.733786426,0.845227199,1.455668646
E30000237,Luton,0.391533869,0.097215892,0.613972718,0.306966104,0.435958149,1.02331123,0.991456017,1.088410408,0.803285501,1.148705193,0.505148193,0.886866655,1.300837044,2.226605722,0.495554951,0.905347431,0.699310055,0.904715071,0.81955514
E30000238,Malton,4.727554862,1.563997176,2.65902168,0.247712877,0.362630116,1.18206003,0.966089707,0.468276056,1.220560881,0.222655155,0.211597274,2.249166699,0.587298041,0.682986034,0.527512105,1.037037569,0.559361759,3.289435786,0.58954447
E30000239,Manchester,0.308890103,0.541836744,0.921895467,2.146669572,0.776312405,0.852386955,1.046085918,1.167712046,0.817969608,0.882039349,0.949814271,1.07883696,1.180366949,1.102409921,0.919535046,0.949749913,0.993910435,0.982570684,0.95140699
E30000240,Mansfield,1.193584559,0.690165734,1.97608755,2.038668127,0.912210408,1.373110439,1.111553815,1.292310261,0.928191981,0.26241284,0.256313361,0.618971151,0.619524508,0.83906019,0.569388048,0.841109621,1.144972143,0.90462209,1.114528205
E30000241,Margate and Ramsgate,0.521843066,0.089182935,1.092299649,0.713812997,1.54921399,1.082908477,1.087587726,0.776137597,1.359552639,0.500459654,0.397503477,0.613543445,0.768708654,0.499419812,0.551852328,1.300864674,1.491973419,1.18172776,0.961364144
E30000242,Medway,1.229348081,0.437415518,0.969525396,1.409351952,2.084150379,1.483474678,1.089309629,1.239236981,0.862085517,0.578198265,0.73368045,0.901906855,0.669727095,1.044036683,1.310632862,1.036080373,1.014517146,0.767733613,0.906263456
E30000243,Milton Keynes,0.567259044,0.145898868,0.852464908,0.344054853,0.348666414,0.707928253,1.117320935,1.685347935,0.805604454,1.328271345,1.2546462,1.0224586,0.92892701,1.077914651,0.627436185,1.257503772,0.681670137,1.064380448,1.284670057
E30000244,Newbury,2.478930151,0.239892725,0.921222817,1.853226753,0.733989518,0.956449707,0.968568942,0.574616177,0.965339916,3.392237208,0.274927102,1.038342979,0.960735296,1.023374058,0.613971366,1.161149519,0.570410562,1.504501195,1.025891033
E30000245,Newcastle,0.376497206,0.379288059,0.89011205,0.84758062,0.745721687,0.8414382,0.931567038,0.85248566,1.090666426,1.135546176,0.623052555,1.016208425,0.730156383,0.984716423,1.583117493,1.079681672,1.25828125,1.063579391,0.95003387
